category,text,
Smart Device Development & Project,Fix the bugs from tableview and prepare for the review.,
Artificial Intelligence,Finish practical for symbolic artificial intelligence and non-symbolic AI before class,
Concepts of geospatial information system,Study for Quiz 3 for Concepts of geospatial information system on Week 14. Start on lab 8 - Map Projection.,
Geospatial Visualization,Add a latest coronavirus news API for the Geospatial Visualization assignment.,
Emerging Trends & Technologies,Research about AI and read on some subjects pertaining to the retail industry and how it will be affected by AI,
General Study Modules,Complete ICA-1 40% on the quiz for Entrepreneurship,
Smart Device Development & Project,Study for Quiz 2 for Smart Device Development & Project.,
Artificial Intelligence,Finish practical 5 for AI problem solving before the class,
Concepts of geospatial information system,Read the lecture on Geospatial Analytics 1 ,
Geospatial Visualization,Finish Geospatial Visualization practical,
Emerging Trends & Technologies,Group meeting on ICA 2.,
General Study Modules,Class for entrepreneurship,
Smart Device Development & Project,Complete the Swift practicals for the week.,
Artificial Intelligence,Finish Practical 6 for Artificial Intelligence - Knowledge Representation,
Concepts of geospatial information system,Redo tutorial for Week 8 - 10.,
Geospatial Visualization,Practical 4 - Page Navigation for Geospatial Visualization,
Emerging Trends & Technologies,Attempt Emerging Trends & Technologies quiz 2.,
General Study Modules,There is class for Financial Intelligence - Briefing about ICA 2.,
Smart Device Development & Project,Add the map feature for the SwiftProj and pass from a JSON and fix the MKPointAnnotation bugs.,
Artificial Intelligence,Complete the last two questions on Practical 7 Machine Learning for AI,
Concepts of geospatial information system,Watch the lecture for vector and raster spatial data.,
Geospatial Visualization,Week 7 Practical for geospatial visualisation on UI Components,
Emerging Trends & Technologies,Research the impacts that cloud computing has on the retail industry,
General Study Modules,Finish ICA 2 on the entrepreneur in me module.,
Smart Device Development & Project,Fix the ViewController UI’s constraints and then fix the gitignore for the GitHub version control.,
Artificial Intelligence,Class for Practical 8 - Type of Machine Learning.,
Concepts of geospatial information system,Do practical for Geospatial data week 4,
Geospatial Visualization,Watch the teacher’s lecture on HTTP and JSON.,
Emerging Trends & Technologies,Write a few topics on AI in the blog for good measures.,
General Study Modules,Find out an entrepreneur startup idea for General Study Modules,
Smart Device Development & Project,Allow user to edit and see the individual tasks,
